Node,Name,Parent,Type,Layout,Description,Position,Department
AAPL,Apple Inc.,,Section,Detail,Empresa tecnológica líder en dispositivos móviles,CEO,Executive
AAPL-1,Tim Cook,AAPL,Person,Profile,CEO de Apple desde 2011,Chief Executive Officer,Executive
AAPL-1-1,Jeff Williams,AAPL-1,Person,Profile,COO de Apple,Chief Operating Officer,Operations
AAPL-1-1-1,Sabih Khan,AAPL-1-1,Person,Profile,VP de Operaciones,VP Operations,Operations
AAPL-1-1-1-1,John Felton,AAPL-1-1-1,Person,Profile,Director de Operaciones Globales,Director Global Operations,Operations
AAPL-1-1-1-1-1,Chris Kondo,AAPL-1-1-1-1,Person,Profile,Manager de Operaciones,Operations Manager,Operations
AAPL-1-1-2,Jeffrey Maestas,AAPL-1-1,Person,Profile,VP de Supply Chain,VP Supply Chain,Supply Chain
AAPL-1-1-2-1,Isabel Ge Mahe,AAPL-1-1-2,Person,Profile,Director de Supply Chain China,Director China Supply Chain,Supply Chain
AAPL-1-1-2-1-1,Li Wei,AAPL-1-1-2-1,Person,Profile,Manager de Logística China,China Logistics Manager,Supply Chain
AAPL-1-2,Deirdre O'Brien,AAPL-1,Person,Profile,VP de Recursos Humanos,VP Human Resources,HR
AAPL-1-2-1,Denise Young Smith,AAPL-1-2,Person,Profile,Directora de Diversidad,Director Diversity,HR
AAPL-1-2-1-1,Carol Surface,AAPL-1-2-1,Person,Profile,Manager de Diversidad,Manager Diversity,HR
AAPL-1-2-1-1-1,Sarah Johnson,AAPL-1-2-1-1,Person,Profile,Especialista en Diversidad,Diversity Specialist,HR
AAPL-1-3,Kate Adams,AAPL-1,Person,Profile,Secretaria General y VP Legal,General Counsel,Legal
AAPL-1-3-1,Steve Dowling,AAPL-1-3,Person,Profile,VP de Comunicaciones,VP Communications,Communications
AAPL-1-3-1-1,Peter Stern,AAPL-1-3-1,Person,Profile,Director de Comunicaciones,Director Communications,Communications
AAPL-1-3-1-1-1,Emma Wilson,AAPL-1-3-1-1,Person,Profile,Manager de Relaciones Públicas,PR Manager,Communications
AAPL-1-4,Phil Schiller,AAPL-1,Person,Profile,VP de Marketing Mundial,VP Worldwide Marketing,Marketing
AAPL-1-4-1,Tor Myhren,AAPL-1-4,Person,Profile,VP de Marketing,VP Marketing,Marketing
AAPL-1-4-1-1,Phil Schiller,AAPL-1-4-1,Person,Profile,Director de Comunicaciones de Producto,Director Product Communications,Marketing
AAPL-1-4-1-1-1,Alex Chen,AAPL-1-4-1-1,Person,Profile,Manager de Marketing Digital,Digital Marketing Manager,Marketing
AAPL-1-5,Eddy Cue,AAPL-1,Person,Profile,VP de Servicios y Software,VP Services & Software,Software
AAPL-1-5-1,Eddy Cue,AAPL-1-5,Person,Profile,VP de Apple Music,VP Apple Music,Entertainment
AAPL-1-5-1-1,Peter Stern,AAPL-1-5-1,Person,Profile,Director de Apple Music,Director Apple Music,Entertainment
AAPL-1-5-1-1-1,David Smith,AAPL-1-5-1-1,Person,Profile,Manager de Contenido Musical,Music Content Manager,Entertainment
AAPL-1-5-2,Peter Stern,AAPL-1-5,Person,Profile,VP de Apple TV+,VP Apple TV+,Entertainment
AAPL-1-5-2-1,Zack Van Amburg,AAPL-1-5-2,Person,Profile,Director de Apple TV+,Director Apple TV+,Entertainment
AAPL-1-5-2-1-1,Jamie Erlicht,AAPL-1-5-2-1,Person,Profile,Manager de Producción TV,TV Production Manager,Entertainment
AAPL-1-6,Craig Federighi,AAPL-1,Person,Profile,VP de Ingeniería de Software,VP Software Engineering,Engineering
AAPL-1-6-1,Craig Federighi,AAPL-1-6,Person,Profile,VP de iOS,VP iOS,Software
AAPL-1-6-1-1,Dan Riccio,AAPL-1-6-1,Person,Profile,Director de iOS,Director iOS,Software
AAPL-1-6-1-1-1,Scott Forstall,AAPL-1-6-1-1,Person,Profile,Manager de Desarrollo iOS,iOS Development Manager,Software
AAPL-1-6-2,Dan Riccio,AAPL-1-6,Person,Profile,VP de macOS,VP macOS,Software
AAPL-1-6-2-1,Bertrand Serlet,AAPL-1-6-2,Person,Profile,Director de macOS,Director macOS,Software
AAPL-1-6-2-1-1,Avie Tevanian,AAPL-1-6-2-1,Person,Profile,Manager de Desarrollo macOS,macOS Development Manager,Software

MSFT,Microsoft Corporation,,Section,Detail,Empresa líder en software y servicios en la nube,CEO,Executive
MSFT-1,Satya Nadella,MSFT,Person,Profile,CEO de Microsoft desde 2014,Chief Executive Officer,Executive
MSFT-1-1,Brad Smith,MSFT-1,Person,Profile,Presidente y VP Legal,President & Chief Legal Officer,Legal
MSFT-1-1-1,Julie Brill,MSFT-1-1,Person,Profile,VP de Privacidad,VP Privacy,Legal
MSFT-1-1-1-1,Tom Burt,MSFT-1-1-1,Person,Profile,Director de Privacidad,Director Privacy,Legal
MSFT-1-1-1-1-1,Sarah Johnson,MSFT-1-1-1-1,Person,Profile,Manager de Privacidad,Privacy Manager,Legal
MSFT-1-1-2,Tom Burt,MSFT-1-1,Person,Profile,VP de Seguridad Digital,VP Digital Security,Legal
MSFT-1-1-2-1,Charlie Bell,MSFT-1-1-2,Person,Profile,Director de Seguridad Digital,Director Digital Security,Legal
MSFT-1-1-2-1-1,Mark Russinovich,MSFT-1-1-2-1,Person,Profile,Manager de Seguridad,Security Manager,Legal
MSFT-1-2,Amy Hood,MSFT-1,Person,Profile,CFO de Microsoft,Chief Financial Officer,Finance
MSFT-1-2-1,Frank Brod,MSFT-1-2,Person,Profile,VP de Contabilidad,VP Accounting,Finance
MSFT-1-2-1-1,Alice Jolla,MSFT-1-2-1,Person,Profile,Director de Contabilidad,Director Accounting,Finance
MSFT-1-2-1-1-1,John Smith,MSFT-1-2-1-1,Person,Profile,Manager de Contabilidad,Accounting Manager,Finance
MSFT-1-2-2,Alice Jolla,MSFT-1-2,Person,Profile,VP de Relaciones con Inversores,VP Investor Relations,Finance
MSFT-1-2-2-1,Chris Suh,MSFT-1-2-2,Person,Profile,Director de Relaciones con Inversores,Director Investor Relations,Finance
MSFT-1-2-2-1-1,Michael Spencer,MSFT-1-2-2-1,Person,Profile,Manager de Relaciones con Inversores,Investor Relations Manager,Finance
MSFT-1-3,Judson Althoff,MSFT-1,Person,Profile,EVP de Comercialización,Executive VP Commercial,Commercial
MSFT-1-3-1,Gavriella Schuster,MSFT-1-3,Person,Profile,VP de One Commercial Partner,VP One Commercial,Commercial
MSFT-1-3-1-1,Nicole Dezen,MSFT-1-3-1,Person,Profile,Director de One Commercial Partner,Director One Commercial Partner,Commercial
MSFT-1-3-1-1-1,Rodney Clark,MSFT-1-3-1-1,Person,Profile,Manager de Partners,Partners Manager,Commercial
MSFT-1-3-2,Jean-Philippe Courtois,MSFT-1-3,Person,Profile,VP de Ventas,VP Sales,Sales
MSFT-1-3-2-1,Judson Althoff,MSFT-1-3-2,Person,Profile,Director de Ventas Globales,Director Global Sales,Sales
MSFT-1-3-2-1-1,Orlando Ayala,MSFT-1-3-2-1,Person,Profile,Manager de Ventas,Sales Manager,Sales
MSFT-1-4,Scott Guthrie,MSFT-1,Person,Profile,EVP de Cloud y AI,Executive VP Cloud & AI,Technology
MSFT-1-4-1,Scott Guthrie,MSFT-1-4,Person,Profile,VP de Azure,VP Azure,Cloud
MSFT-1-4-1-1,Sam Schillace,MSFT-1-4-1,Person,Profile,Director de Azure,Director Azure,Cloud
MSFT-1-4-1-1-1,Mark Russinovich,MSFT-1-4-1-1,Person,Profile,Manager de Azure,Azure Manager,Cloud
MSFT-1-4-2,Sam Schillace,MSFT-1-4,Person,Profile,VP de AI,VP AI,Technology
MSFT-1-4-2-1,Chris Bishop,MSFT-1-4-2,Person,Profile,Director de AI,Director AI,Technology
MSFT-1-4-2-1-1,Andrew Ng,MSFT-1-4-2-1,Person,Profile,Manager de Machine Learning,ML Manager,Technology
MSFT-1-5,Chris Capossela,MSFT-1,Person,Profile,EVP de Marketing,Executive VP Marketing,Marketing
MSFT-1-5-1,Chris Capossela,MSFT-1-5,Person,Profile,VP de Marketing Global,VP Global Marketing,Marketing
MSFT-1-5-1-1,Takeshi Numoto,MSFT-1-5-1,Person,Profile,Director de Marketing Global,Director Global Marketing,Marketing
MSFT-1-5-1-1-1,Kathleen Hall,MSFT-1-5-1-1,Person,Profile,Manager de Marketing,Marketing Manager,Marketing
MSFT-1-5-2,Takeshi Numoto,MSFT-1-5,Person,Profile,VP de Marketing de Producto,VP Product Marketing,Marketing
MSFT-1-5-2-1,Frank Shaw,MSFT-1-5-2,Person,Profile,Director de Comunicaciones,Director Communications,Marketing
MSFT-1-5-2-1-1,Steve Clayton,MSFT-1-5-2-1,Person,Profile,Manager de Comunicaciones,Communications Manager,Marketing

GOOGL,Alphabet Inc.,,Section,Detail,Empresa matriz de Google y otras subsidiarias,CEO,Executive
GOOGL-1,Sundar Pichai,GOOGL,Person,Profile,CEO de Alphabet y Google,Chief Executive Officer,Executive
GOOGL-1-1,Ruth Porat,GOOGL-1,Person,Profile,CFO de Alphabet,Chief Financial Officer,Finance
GOOGL-1-1-1,Allan Thygesen,GOOGL-1-1,Person,Profile,VP de Google Ads,VP Google Ads,Advertising
GOOGL-1-1-1-1,Jerry Dischler,GOOGL-1-1-1,Person,Profile,Director de Productos Publicitarios,Director Ad Products,Advertising
GOOGL-1-1-1-1-1,John Smith,GOOGL-1-1-1-1,Person,Profile,Manager de Google Ads,Google Ads Manager,Advertising
GOOGL-1-1-2,Porat Ruth,GOOGL-1-1,Person,Profile,VP de Finanzas Corporativas,VP Corporate Finance,Finance
GOOGL-1-1-2-1,Porat Ruth,GOOGL-1-1-2,Person,Profile,Director de Inversiones,Director Investments,Finance
GOOGL-1-1-2-1-1,David Brown,GOOGL-1-1-2-1,Person,Profile,Manager de Inversiones,Investments Manager,Finance
GOOGL-1-2,Kent Walker,GOOGL-1,Person,Profile,VP Legal y Asuntos Globales,VP Legal & Global Affairs,Legal
GOOGL-1-2-1,Kent Walker,GOOGL-1-2,Person,Profile,VP de Privacidad,VP Privacy,Legal
GOOGL-1-2-1-1,Melanie Nakagawa,GOOGL-1-2-1,Person,Profile,Director de Privacidad,Director Privacy,Legal
GOOGL-1-2-2,Kent Walker,GOOGL-1-2,Person,Profile,VP de Asuntos Globales,VP Global Affairs,Legal
GOOGL-1-2-2-1,Karan Bhatia,GOOGL-1-2-2,Person,Profile,Director de Asuntos Globales,Director Global Affairs,Legal
GOOGL-1-3,Philipp Schindler,GOOGL-1,Person,Profile,VP de Comercialización,VP Commercial,Commercial
GOOGL-1-3-1,Philipp Schindler,GOOGL-1-3,Person,Profile,VP de Ventas Globales,VP Global Sales,Sales
GOOGL-1-3-1-1,Caroline Atkinson,GOOGL-1-3-1,Person,Profile,Director de Ventas Globales,Director Global Sales,Sales
GOOGL-1-3-2,Philipp Schindler,GOOGL-1-3,Person,Profile,VP de Marketing,VP Marketing,Marketing
GOOGL-1-3-2-1,Lorraine Twohill,GOOGL-1-3-2,Person,Profile,Director de Marketing,Director Marketing,Marketing
GOOGL-1-4,Prabhakar Raghavan,GOOGL-1,Person,Profile,VP de Búsqueda,VP Search,Technology
GOOGL-1-4-1,Prabhakar Raghavan,GOOGL-1-4,Person,Profile,VP de Búsqueda Web,VP Web Search,Technology
GOOGL-1-4-1-1,Ben Gomes,GOOGL-1-4-1,Person,Profile,Director de Búsqueda Web,Director Web Search,Technology
GOOGL-1-4-2,Prabhakar Raghavan,GOOGL-1-4,Person,Profile,VP de Búsqueda de Imágenes,VP Image Search,Technology 